date_documented,year_found,Season,Country_Code,Country,Location,latitude,longitude,UFO_shape,length_of_encounter_seconds,Description,,,,,,
11/21/2010,2010,Summer,MYS,Malaysia,Sabah,5.84561,118.057056,Circle,900,very beautiful.in green colour.surround by one layer of white shining light.size like basketball.first spotted come out from the moon.i,,,,,,
1/5/2011,2010,Autumn,PHL,Philippines,Caloocan,14.743885,121.067552,Light,2100,over 50 lights appearing in the sky and landing in the jungle of Belize,,,,,,
5/12/2010,2010,Winter,PHL,Philippines,Capitol Site,10.315699,123.885437,Light,20,Unusual white light at high altitude&#44  very fast with &#39?cloaking?&#39 capabilities&#44 and maneuvers,,,,,,
4/13/2010,2010,Spring,PHL,Philippines,Ninoy Aquino,15.144985,120.588703,Disk,10,arc like not very visible UFO in philippines angeles city,,,,,,
12/12/2011,2010,Summer,PHL,Philippines,Jaro,10.72015,122.562106,Formation,30,faint-lighted glowing dots in different colors (orange&#44 green&#44 blue-green) in a triangular formation.,,,,,,
11/21/2010,2010,Autumn,PHL,Philippines,Pala-o,8.228021,124.245242,Oval,10,night sky sighting very fast moving craft in iligan city,,,,,,
4/13/2010,2010,Spring,SG,Singapore,Singapore,1.352083,103.819836,Light,1200,2 round lights fade in and out at certain interval while moving away slowly.,,,,,,
6/10/2010,2010,Summer,SG,Singapore,Singapore,1.352083,103.819836,Disk,240,UFO Spotted above northern singapore,,,,,,
11/21/2010,2010,Summer,SG,Singapore,Singapore,1.352083,103.819836,Teardrop,7200,Lying on the beach hoping to look out for stars. It was a cloudy night. But&#44 when we looked up later the sky was clear and we saw sever,,,,,,
7/10/2010,2010,Summer,VNM,Vietnam,,10.823099,106.629664,Sphere,10800,UFO sighting in Vietnam,,,,,,
12/12/2011,2011,Winter,KHM,Cambodia,Siem Reap ,13.364047,103.860313,Disk,60,Very close observation of a disc shaped craft.,,,,,,
9/9/2013,2011,Winter,IDN,Indonesia,West Sumatra,-0.95,100.353056,Light,3000,Very bright light  appeared for 50 min in the clear night sky  of  PADANG&#44 WEST SUMATERA&#44 INDONESIA&#44 for   50 min.,,,,,,
1/31/2011,2011,Winter,MYS,Malaysia,Selangor,3.107094,101.608255,Triangle,300,triangle sheped craft threw out a stone which is glowing,,,,,,
3/10/2011,2011,Spring,MYS,Malaysia,Sarawak,1.530976,110.34422,Changing,1200,Hovering Object with Flickering Colourful Lights over Kuching City&#44 Sarawak&#44 Malaysia,,,,,,
8/7/2011,2011,Summer,PHL,Philippines,Eastern Manila District,14.569805,121.078675,Fireball,300,Small orange-red &#39fireball&#39 orb moving slowly along beach,,,,,,
10/30/2012,2011,Autumn,PHL,Philippines,Southern Manila District,14.535427,121.060073,Fireball,240,Fireball coming and returning over mountain,,,,,,
7/4/2012,2011,Autumn,SG,Singapore,Singapore,1.352083,103.819836,Light,1260,It&#39s huge like it is near to the building. The color changed. The color&#44 to me&#44 I have never seen it before. It moves in a Zigzag shape,,,,,,
5/2/2011,2011,Spring,SG,Singapore,Singapore,1.352083,103.819836,Other,2,Blinking light made a zig-zag motion in a split second while flashing a very bright light and went straight up.,,,,,,
3/13/2012,2011,Spring,SG,Singapore,Singapore,1.352083,103.819836,Triangle,120,Black triangular object seen overtaking airplane during flight in Southeast Asia,,,,,,
6/20/2011,2011,Summer,SG,Singapore,Singapore,1.352083,103.819836,Light,1800,Light in the sky not moving but changing colour from blue to red to white...colour sequence chnged but craft did not move. Moved away b,,,,,,
12/12/2011,2011,Autumn,SG,Singapore,Singapore,1.352083,103.819836,Light,600,Formation of 3 starlike ufo&#39s over petrochemical port and storage facility in Singapore on the evening of the 16th of Sept. 2011,,,,,,
12/12/2011,2011,Winter,SG,Singapore,Singapore,1.352083,103.819836,Light,600,Formation of 3 starlike ufo's over petrochemical port and storage facility in Singapore on the evening of the 16th of Sept. 2011,,,,,,
10/30/2012,2012,Autumn,IDN,Indonesia,Bali,-8.519268,115.263298,,120,Strong orange light flickering in the dark cloudy rainy night,,,,,,
10/30/2012,2012,Autumn,MYS,Malaysia,Selangor,3.043061,101.440657,Light,900,Mysterious bright spot in pictures of solar hola from different persons&#44 cameras&#44 locations and nearly same timing,,,,,,
11/19/2012,2012,Autumn,MYS,Malaysia,Kuala Lumpur,3.139003,101.686855,Oval,720,2 police officers and campers saw a yellowish/red object.,,,,,,
2/3/2012,2012,Winter,MYS,Malaysia,Sabah,5.976474,116.115777,Disk,300,Strange craft in Kota Kinabalu&#44 Sabah&#44 Malaysia,,,,,,
10/30/2012,2012,Autumn,MYS,Malaysia,Klang ,3.044917,101.445564,Light,600,"Mysterious bright spot in pictures of solar hola from different persons, cameras, locations and nearly same timing",,,,,,
11/19/2012,2012,Autumn,PHL,Philippines,Romblon,12.879721,121.774017,Fireball,90,3 separate sightings of orange light in a week.,,,,,,
12/20/2012,2012,Winter,PHL,Philippines,Romblon,12.879721,121.774017,Other,180,Normal reddish star&#44 grew brighter and bigger&#44 disappeared&#44 (might) reappared and start moving left.,,,,,,
12/20/2012,2012,Winter,PHL,Philippines,Cavite,14.306694,121.01373,Light,1200,Fire orange lights over GMA&#44 Cavite&#44 Philippines.,,,,,,
5/13/2012,2012,Spring,PHL,Philippines,Cebu,11.335846,124.115636,Unknown,120,Three bright orange lights&#44 moving quite quickly northrawds&#44 then stopping and heading south before disappearing,,,,,,
7/4/2012,2012,Summer,SG,Singapore,Singapore,1.352083,103.819836,Light,60,"It's huge like it is near to the building. The color changed. The color, to me, I have never seen it before. It moves in a Zigzag shape",,,,,,
03/13/2012,2012,Summer,SG,Singapore,Borneo (between) (in flight),0.867389085,114.2120014,Triangle,120,Black triangular object seen overtaking airplane during flight in Southeast Asia,,,,,,
10/30/2012,2012,Autumn,THA,Thailand,Surat Thani Province,9.512017,100.013593,Sphere,240,2 sightings of orange orbs off the coast of Koh Samui&#44 an island in Southern Thailand.,,,,,,
10/30/2012,2012,Autumn,THA,Thailand,Surat Thani Province,9.512017,100.013593,Sphere,240,2 sightings of orange orbs off the coast of Koh Samui&#44 an island in Southern Thailand. ((ADDENDUM)),,,,,,
11/11/2013,2013,Autumn,IDN,Indonesia,West Sumatra,-0.95,100.353056,Light,7200,Thursday 25 Oct 2013 at 1950pm cyrcle with lights around flying and stand still for 2 hrs in the sky of Padang West Sumatra,,,,,,
11/20/2013,2013,Autumn,IDN,Indonesia,West Sumatra,-0.95,100.353056,Light,3600,Oval shape with very bright lights around attached to the craft.,,,,,,
12/2/2013,2013,Autumn,IDN,Indonesia,Riau,-0.589724,101.343106,Oval,3600,Oval shape craft with lights around attached to the craft. with haze.,,,,,,
12/23/2013,2013,Winter,IDN,Indonesia,West Sumatra,-0.95,100.353056,Disk,7200,Saucer type of craft with lights rotating it flying very slowly&#44 in padang&#44 west sumatra sky for 2 hours.  ((NUFORC Note:  Venus?  PD)),,,,,,
12/23/2013,2013,Winter,IDN,Indonesia,West Sumatra,-0.95,100.353056,Cylinder,5400,Again a cylinder type with very bright lights rotating it in Padang sky&#44  West Sumatra&#44 Indonesia for 1.5 hours.,,,,,,
11/20/2013,2013,Autumn,MYS,Malaysia,Kuala Lumpur,3.139003,101.686855,Changing,900,Several dotted light sourcesin in different formation and prolonged changes of direction,,,,,,
7/14/2013,2013,Summer,MYS,Malaysia,Selangor,3.509247,101.524805,Sphere,120,3 purple object flying in Selangor&#44 cheras in Malaysia.,,,,,,
8/30/2013,2013,Summer,MYS,Malaysia,Selangor,3.043061,101.440657,Triangle,60,5 DOT TRIANGLE &amp;quot;SHAPE&amp;quot; CAUGHT ON TAPE&#44KLG&#44MALAYSIA.,,,,,,
9/30/2013,2013,Autumn,MYS,Malaysia,Kuala Lumpur,3.139003,101.686855,Flash,10,Glowing snowball streak across the sky&#44 no sound.,,,,,,
11/20/2013,2013,Winter,MYS,Malaysia,Kuala Lumpur,3.140853,101.693207,Changing,300,Several dotted light sourcesin in different formation and prolonged changes of direction,,,,,,
09/30/2013,2013,Autumn,MYS,Malaysia,Kuala Lumpur,3.140853,101.693207,Flash,10,"Glowing snowball streak across the sky, no sound.",,,,,,
08/30/2013,2013,Summer,MYS,Malaysia,Klang (Selangor),3.043061,101.440657,Triangle,60,"5 DOT TRIANGLE ""SHAPE"" CAUGHT ON TAPE,KLG,MALAYSIA.",,,,,,
07/14/2013,2013,Summer,MYS,Malaysia,Selangor,3.043061,101.440657,Sphere,120,"3 purple object flying in Selangor, cheras in Malaysia.",,,,,,
11/19/2012,2013,Summer,MYS,Malaysia,Kuala Lumpur,3.140853,101.693207,Oval,720,2 police officers and campers saw a yellowish/red object.,,,,,,
8/30/2013,2013,Summer,MMR,Myanmar,Yangon,16.8,96.15,Cigar,600,While me and my friends are drinking beer&#44 these UFOs (7 or Above-like cigar but short length) fly over us.,,,,,,
8/30/2013,2013,Summer,PHL,Philippines,Bohol,9.672948,123.873002,Triangle,900,Lighted&#44 triangular shaped object observed over the Philippine islands.,,,,,,
10/14/2013,2013,Autumn,THA,Thailand,Surat Thani Province,9.512017,100.013593,Circle,45,Bright orange sphere in nighttime sky in Thailand.,,,,,,
10/23/2013,2013,Autumn,THA,Thailand,Surat Thani Province,9.512017,100.013593,Circle,60,5 bright lights above chaweng beach koh samui,,,,,,
4/4/2014,2014,Spring,IDN,Indonesia,Pasar Manggis,-6.208763,106.845599,Sphere,300,Brighter light going out from another light.,,,,,,
5/2/2014,2014,Spring,MYS,Malaysia,Kota marudu sabah ,6.485247,116.7328462,Triangle,15,3 lights with zigzag movement.,,,,,,
3/18/2014,2014,Spring,MYS,Malaysia,Kuala Lumpur,3.140853,101.693207,Changing,-,Strange lights?,,,,,,
4/24/2014,2014,Spring,PHL,Philippines,Eastern Manila District,14.676041,121.0437,Light,3,A weird flash of light appeared in the sky two times.,,,,,,
4/11/2014,2014,Spring,PHL,Philippines,Ilocos Norte,18.196013,120.592668,Light,30,Bright light like stars x two.,,,,,,
3/18/2014,2014,Spring,THA,Thailand,Loei Province,17.37021,101.900579,Rectangle,120,Geometric lights over north-east Thailand.,,,,,,
12/21/2015,2015,Winter,KHM,Cambodia,Phnom Penh ,11.562108,104.888535,Unknown,10,"11/02/2015 Above St.79BT, Boeung Tumpun, Phnom Penh, Cambodia - yellow orange fire - 10sec - the last 4seconds it went directly upward.",,,,,,
1/16/2015,2015,Winter,KHM,Cambodia,Siem Reap ,13.364047,103.860313,Fireball,480,"((HOAX??)) We were looking at the sky, because it was beautiful night and I love watching the stars.",,,,,,
1/16/2015,2015,Winter,KHM,Cambodia,Siem Reap ,13.364047,103.860313,Fireball,480,((HOAX??)) Three fireball like objects apeared in the sky for 8 minutes.,,,,,,
1/16/2015,2015,Winter,KHM,Cambodia,Siem Reap ,13.364047,103.860313,Fireball,60,((HOAX??)) 3 fireball looking object was flying in the sky then suddenly it went down and after that i heard a bunch of dogs barking.,,,,,,
9/25/2015,2015,Autumn,MYS,Malaysia,Kuala Lumpur,3.140853,101.693207,Circle,300,"Bright blue stationary light, changed to red and disappeared.",,,,,,
4/3/2015,2015,Summer,THA,Thailand,Ban Krut,11.35,99.567,Rectangle,600,Billboard of white light.,,,,,,
4/29/2016,2016,Spring,KHM,Cambodia,Sihanoukville ,10.627543,103.522141,Sphere,600,"Bright light, stationary, moved twice and instantly dassapeared",,,,,,
12/5/2016,2016,Winter,MYS,Malaysia,Johor ,1.46343,103.754715,Circle,1200,"Circle craft with blue and green light rotating around the sky, look like collecting something. ((NUFORC Note: ""Twinkling"" star?? PD))",,,,,,
7/22/2016,2016,Summer,THA,Thailand,Bangkok,13.727896,100.524123,Teardrop,-,5 tear-drop/fang-shaped objects in delta formation over Bangkok during heavy thunderstorm.,,,,,,
1/5/2016,2016,Winter,THA,Thailand,Bangkok,13.727896,100.524123,Orb,-,"Bright, stationary object in orbit above Bangkok, Thailand, on New Year's day. ((NUFORC Note: Planet near Moon? PD))",,,,,,
6/22/2017,2017,Summer,THA,Thailand,Chiang Rai ,19.90858,99.8325,Unknown,120,I was outside grilling on our patio. I was completely dark outside at around 8:05 p.m. We live near the city airport and will typical,,,,,,
7/13/2018,2018,Summer,SG,Singapore,Singapore/ Bekasi,-1.329226453,104.9215257,Triangle,4020,My brother and I saw this flying misterious object and we thought that it was a kite.But an hour later i started to think that this ob,,,,,,
11/9/2018,2018,Autumn,THA,Thailand,Pattaya ,12.927608,100.877083,Triangle,15,We have many aircraft fly over us every day from bangkok and utaphao airports we know what an aurcraft looks this craft was not a plane,,,,,,
6/27/2019,2019,Summer,MYS,Malaysia,Kuantan Pahang,3.763386,103.220184,Circle,2,"((NUFORC Note: Witness provides no text in report. Sends photo, which appears to be a lens flare. PD))",,,,,,
6/25/2020,2020,Summer,MYS,Malaysia,Sabah (Tawau),5.976474,116.115777,Light,1000,"It's look like a star but it keep flashing for like 15min plus. When I focus on it the colour change to green, then it disappear. I che",,,,,,
6/25/2020,2020,Summer,MYS,Malaysia,Kuala Terengganu ,5.3302,103.1408,Cylinder,-,"Two cylinder shape shadow sighted during routine photography. Terengganu, Malaysia",,,,,,
6/25/2020,2020,Summer,THA,Thailand,Koh Samui ,9.512017,100.013596,Unknown,5,"The UFO flew South-West to North-East & altitude under 1000 feet about Mach 2-4, there was no noise & estimated at 10-20m in length.",,,,,,
6/25/2020,2020,Summer,THA,Thailand,Bangkok,13.727896,100.524123,Triangle,10,"Flying low, just under low cloud, no typical jet sound, gliding, came from the south west flying east, triangular shape, looking from",,,,,,
01/31/2020,2020,Winter,THA,Thailand,Phuket ,7.878978,98.398392,Unknown,-,"Greetings from Thailand, coconut Island. I have not seen UFO with my eyes but since last night very strange occurrences. ((anonymous))",,,,,,
7/31/2021,2021,Summer,MYS,Malaysia,Malaysia,3.140853,101.693207,Triangle,10,"On the 10th floor balcony, we saw a triangular flying vehicle faintly in the sky.It is an equivalent triangle with a triangular dotted.",,,,,,
3/6/2023,2023,Autumn,TLS,East Timor,West Dili,-8.556856,125.56031,Chevron,8,Bright light birds flying away,,,,,,
12/20/2023,2023,Winter,THA,Thailand,Mueang Chiang Rai,19.90858,99.8325,Changing,60,Five flying objects on the sky.,,,,,,
10/28/2023,2023,Autumn,THA,Thailand,Sukhothai UNESCO world heritage site,17.00778,99.823,Other,900,"A Star like object, oval on magnification of photo.",,,,,,
7/29/2023,2023,Summer,THA,Thailand,Saphan sung,13.76531,13.76531 100.69001,Egg,2,Not bright object travelling too fast,,,,,,
7/10/2023,2023,Summer,THA,Thailand,Hat Yai,7.00836,100.47668,Circle,1200,Some type of flying object... On hover.,,,,,,
3/6/2023,2023,Spring,THA,Thailand,Malacca/Andaman sea,11.340025,95.737648,Cylinder,600,Appeared to be extension of airplane wing until it flew away.,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,REPORTED,POSTED,MEDIA,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
